Comunidades autónomas	Ocupación	Sexo	Periodo	Total
Castilla - La Mancha	Alta	Ambos sexos	2010	29.762,43
Castilla - La Mancha	Alta	Ambos sexos	2009	30.343,38
Castilla - La Mancha	Alta	Ambos sexos	2008	28.271,94
Castilla - La Mancha	Alta	Mujeres	2023	33.331,07
Castilla - La Mancha	Alta	Mujeres	2022	31.851,63
Castilla - La Mancha	Alta	Mujeres	2021	31.835,87
Castilla - La Mancha	Alta	Mujeres	2020	31.122,26
Castilla - La Mancha	Alta	Mujeres	2019	29.595,93
Castilla - La Mancha	Alta	Mujeres	2018	28.885,06
Castilla - La Mancha	Alta	Mujeres	2017	27.668,74
Castilla - La Mancha	Alta	Mujeres	2016	26.647,54
Castilla - La Mancha	Alta	Mujeres	2015	26.672,03
Castilla - La Mancha	Alta	Mujeres	2014	26.242,18
Castilla - La Mancha	Alta	Mujeres	2013	25.993,9
Castilla - La Mancha	Alta	Mujeres	2012	26.324,33
Castilla - La Mancha	Alta	Mujeres	2011	26.300,01
Castilla - La Mancha	Alta	Mujeres	2010	27.570,02
Castilla - La Mancha	Alta	Mujeres	2009	26.807,26
Castilla - La Mancha	Alta	Mujeres	2008	25.235,93
Castilla - La Mancha	Alta	Hombres	2023	37.971,53
Castilla - La Mancha	Alta	Hombres	2022	34.842,17
Castilla - La Mancha	Alta	Hombres	2021	36.124,64
Castilla - La Mancha	Alta	Hombres	2020	34.484,9
Castilla - La Mancha	Alta	Hombres	2019	32.381,12
Castilla - La Mancha	Alta	Hombres	2018	34.896,63
Castilla - La Mancha	Alta	Hombres	2017	33.389,66
Castilla - La Mancha	Alta	Hombres	2016	33.087,61
Castilla - La Mancha	Alta	Hombres	2015	31.682,59
Castilla - La Mancha	Alta	Hombres	2014	32.606,61
Castilla - La Mancha	Alta	Hombres	2013	34.545,86
Castilla - La Mancha	Alta	Hombres	2012	33.090,87
Castilla - La Mancha	Alta	Hombres	2011	32.459,49
Castilla - La Mancha	Alta	Hombres	2010	31.772,72
Castilla - La Mancha	Alta	Hombres	2009	33.382,97
Castilla - La Mancha	Alta	Hombres	2008	31.033,7
Castilla - La Mancha	Media	Ambos sexos	2023	21.493,8
Castilla - La Mancha	Media	Ambos sexos	2022	20.994,05
Castilla - La Mancha	Media	Ambos sexos	2021	19.589,88
Castilla - La Mancha	Media	Ambos sexos	2020	19.121,85
Castilla - La Mancha	Media	Ambos sexos	2019	19.094,33
Castilla - La Mancha	Media	Ambos sexos	2018	18.672,79
Castilla - La Mancha	Media	Ambos sexos	2017	17.998,54
Castilla - La Mancha	Media	Ambos sexos	2016	18.296,04
Castilla - La Mancha	Media	Ambos sexos	2015	18.307,26
Castilla - La Mancha	Media	Ambos sexos	2014	17.583,76
Castilla - La Mancha	Media	Ambos sexos	2013	17.882,3
Castilla - La Mancha	Media	Ambos sexos	2012	17.790,46
Castilla - La Mancha	Media	Ambos sexos	2011	18.081,43
Castilla - La Mancha	Media	Ambos sexos	2010	17.408,66
Castilla - La Mancha	Media	Ambos sexos	2009	17.195,87
Castilla - La Mancha	Media	Ambos sexos	2008	17.046,27
Castilla - La Mancha	Media	Mujeres	2023	18.035,12
Castilla - La Mancha	Media	Mujeres	2022	17.640,95
Castilla - La Mancha	Media	Mujeres	2021	16.446,41
Castilla - La Mancha	Media	Mujeres	2020	16.021,5
Castilla - La Mancha	Media	Mujeres	2019	16.204,38
Castilla - La Mancha	Media	Mujeres	2018	15.254,8
Castilla - La Mancha	Media	Mujeres	2017	15.162,95
Castilla - La Mancha	Media	Mujeres	2016	15.495,32
Castilla - La Mancha	Media	Mujeres	2015	15.583,99
Castilla - La Mancha	Media	Mujeres	2014	14.802,1
Castilla - La Mancha	Media	Mujeres	2013	15.044,49
Castilla - La Mancha	Media	Mujeres	2012	14.596,87
Castilla - La Mancha	Media	Mujeres	2011	15.364,48
Castilla - La Mancha	Media	Mujeres	2010	14.611,57
Castilla - La Mancha	Media	Mujeres	2009	14.513,48
Castilla - La Mancha	Media	Mujeres	2008	14.276,73
Castilla - La Mancha	Media	Hombres	2023	24.478,38
Castilla - La Mancha	Media	Hombres	2022	24.027,21
Castilla - La Mancha	Media	Hombres	2021	22.168,26
Castilla - La Mancha	Media	Hombres	2020	21.497,21
Castilla - La Mancha	Media	Hombres	2019	21.659,32
Castilla - La Mancha	Media	Hombres	2018	21.724,63
Castilla - La Mancha	Media	Hombres	2017	20.566,57
Castilla - La Mancha	Media	Hombres	2016	20.759,74
Castilla - La Mancha	Media	Hombres	2015	20.720,17
Castilla - La Mancha	Media	Hombres	2014	19.911,75
Castilla - La Mancha	Media	Hombres	2013	20.486,46
Castilla - La Mancha	Media	Hombres	2012	20.455,83
Castilla - La Mancha	Media	Hombres	2011	20.504,92
Castilla - La Mancha	Media	Hombres	2010	19.919,41
Castilla - La Mancha	Media	Hombres	2009	19.353,98
Castilla - La Mancha	Media	Hombres	2008	19.015,64
Castilla - La Mancha	Baja	Ambos sexos	2023	19.625,93
Castilla - La Mancha	Baja	Ambos sexos	2022	19.359,4
Castilla - La Mancha	Baja	Ambos sexos	2021	18.279,49
Castilla - La Mancha	Baja	Ambos sexos	2020	17.593,6
Castilla - La Mancha	Baja	Ambos sexos	2019	16.962,36
Castilla - La Mancha	Baja	Ambos sexos	2018	17.210,11
Castilla - La Mancha	Baja	Ambos sexos	2017	15.901,18
Castilla - La Mancha	Baja	Ambos sexos	2016	16.019,94
Castilla - La Mancha	Baja	Ambos sexos	2015	15.654,78
Castilla - La Mancha	Baja	Ambos sexos	2014	16.057,87
Castilla - La Mancha	Baja	Ambos sexos	2013	15.562,47
Castilla - La Mancha	Baja	Ambos sexos	2012	15.260,95
Castilla - La Mancha	Baja	Ambos sexos	2011	16.007,61
Castilla - La Mancha	Baja	Ambos sexos	2010	15.756,69
Castilla - La Mancha	Baja	Ambos sexos	2009	15.628,71
Castilla - La Mancha	Baja	Ambos sexos	2008	15.794,86
Castilla - La Mancha	Baja	Mujeres	2023	15.287,75
Castilla - La Mancha	Baja	Mujeres	2022	15.505,6
Castilla - La Mancha	Baja	Mujeres	2021	14.672,3
Castilla - La Mancha	Baja	Mujeres	2020	14.074,69
Castilla - La Mancha	Baja	Mujeres	2019	13.499,46
Castilla - La Mancha	Baja	Mujeres	2018	12.646,51
Castilla - La Mancha	Baja	Mujeres	2017	11.987,58
Castilla - La Mancha	Baja	Mujeres	2016	12.101,46
Castilla - La Mancha	Baja	Mujeres	2015	11.493,64
Castilla - La Mancha	Baja	Mujeres	2014	11.169,53
Castilla - La Mancha	Baja	Mujeres	2013	11.803,76
Castilla - La Mancha	Baja	Mujeres	2012	11.859,38
Castilla - La Mancha	Baja	Mujeres	2011	12.257,2
Castilla - La Mancha	Baja	Mujeres	2010	11.890,5
Castilla - La Mancha	Baja	Mujeres	2009	12.203,9
Castilla - La Mancha	Baja	Mujeres	2008	12.659,73
Castilla - La Mancha	Baja	Hombres	2023	21.851,4
Castilla - La Mancha	Baja	Hombres	2022	21.648,41
Castilla - La Mancha	Baja	Hombres	2021	20.249,75
Castilla - La Mancha	Baja	Hombres	2020	19.670,24
Castilla - La Mancha	Baja	Hombres	2019	18.835,25
Castilla - La Mancha	Baja	Hombres	2018	19.437,77
Castilla - La Mancha	Baja	Hombres	2017	17.986,33
Castilla - La Mancha	Baja	Hombres	2016	18.009,23
Castilla - La Mancha	Baja	Hombres	2015	18.080,78
Castilla - La Mancha	Baja	Hombres	2014	18.721,65
Castilla - La Mancha	Baja	Hombres	2013	18.020,77
Castilla - La Mancha	Baja	Hombres	2012	17.129,97
Castilla - La Mancha	Baja	Hombres	2011	18.001,73
Castilla - La Mancha	Baja	Hombres	2010	17.779,63
Castilla - La Mancha	Baja	Hombres	2009	17.047,13
Castilla - La Mancha	Baja	Hombres	2008	16.938,6
Cataluña	Todas las ocupaciones	Ambos sexos	2023	29.978,69
Cataluña	Todas las ocupaciones	Ambos sexos	2022	28.774,55
Cataluña	Todas las ocupaciones	Ambos sexos	2021	28.145,02
Cataluña	Todas las ocupaciones	Ambos sexos	2020	27.100,11
Cataluña	Todas las ocupaciones	Ambos sexos	2019	25.968,2
Cataluña	Todas las ocupaciones	Ambos sexos	2018	25.552,84
Cataluña	Todas las ocupaciones	Ambos sexos	2017	25.180,45
Cataluña	Todas las ocupaciones	Ambos sexos	2016	24.454,64
Cataluña	Todas las ocupaciones	Ambos sexos	2015	24.321,57
Cataluña	Todas las ocupaciones	Ambos sexos	2014	23.927,17
Cataluña	Todas las ocupaciones	Ambos sexos	2013	24.253,73
Cataluña	Todas las ocupaciones	Ambos sexos	2012	24.436,39
Cataluña	Todas las ocupaciones	Ambos sexos	2011	24.499,32
Cataluña	Todas las ocupaciones	Ambos sexos	2010	24.449,19
Cataluña	Todas las ocupaciones	Ambos sexos	2009	23.851,31
Cataluña	Todas las ocupaciones	Ambos sexos	2008	23.375,54
Cataluña	Todas las ocupaciones	Mujeres	2023	27.240,93
Cataluña	Todas las ocupaciones	Mujeres	2022	25.659,03
Cataluña	Todas las ocupaciones	Mujeres	2021	25.015,94
Cataluña	Todas las ocupaciones	Mujeres	2020	24.096,69
Cataluña	Todas las ocupaciones	Mujeres	2019	22.988,22
Cataluña	Todas las ocupaciones	Mujeres	2018	22.289,9
Cataluña	Todas las ocupaciones	Mujeres	2017	21.801,47
Cataluña	Todas las ocupaciones	Mujeres	2016	21.110,34
Cataluña	Todas las ocupaciones	Mujeres	2015	20.946,56
Cataluña	Todas las ocupaciones	Mujeres	2014	20.324,88
Cataluña	Todas las ocupaciones	Mujeres	2013	20.740,55
Cataluña	Todas las ocupaciones	Mujeres	2012	20.931,07
Cataluña	Todas las ocupaciones	Mujeres	2011	20.799,94
Cataluña	Todas las ocupaciones	Mujeres	2010	21.042,14
Cataluña	Todas las ocupaciones	Mujeres	2009	20.467,14
Cataluña	Todas las ocupaciones	Mujeres	2008	19.928,48
Cataluña	Todas las ocupaciones	Hombres	2023	32.721,58
Cataluña	Todas las ocupaciones	Hombres	2022	31.878,42
Cataluña	Todas las ocupaciones	Hombres	2021	31.212,67
Cataluña	Todas las ocupaciones	Hombres	2020	30.003,62
Cataluña	Todas las ocupaciones	Hombres	2019	28.965,38
Cataluña	Todas las ocupaciones	Hombres	2018	28.640,23
Cataluña	Todas las ocupaciones	Hombres	2017	28.323,31
Cataluña	Todas las ocupaciones	Hombres	2016	27.572,76
Cataluña	Todas las ocupaciones	Hombres	2015	27.514,06
Cataluña	Todas las ocupaciones	Hombres	2014	27.447,71
Cataluña	Todas las ocupaciones	Hombres	2013	27.684,3
Cataluña	Todas las ocupaciones	Hombres	2012	27.836,4
Cataluña	Todas las ocupaciones	Hombres	2011	28.025,61
Cataluña	Todas las ocupaciones	Hombres	2010	27.601,02
Cataluña	Todas las ocupaciones	Hombres	2009	26.901,3
Cataluña	Todas las ocupaciones	Hombres	2008	26.353,89
Cataluña	Alta	Ambos sexos	2023	40.471,97
Cataluña	Alta	Ambos sexos	2022	38.785,57
Cataluña	Alta	Ambos sexos	2021	38.507,03
Cataluña	Alta	Ambos sexos	2020	36.891,57
Cataluña	Alta	Ambos sexos	2019	35.013,82
Cataluña	Alta	Ambos sexos	2018	34.514,36
Cataluña	Alta	Ambos sexos	2017	33.870,88
Cataluña	Alta	Ambos sexos	2016	33.095,84
Cataluña	Alta	Ambos sexos	2015	32.918,96
Cataluña	Alta	Ambos sexos	2014	32.708,2
Cataluña	Alta	Ambos sexos	2013	33.497,14
Cataluña	Alta	Ambos sexos	2012	33.460,8
Cataluña	Alta	Ambos sexos	2011	32.977,21
Cataluña	Alta	Ambos sexos	2010	33.704,06
Cataluña	Alta	Ambos sexos	2009	32.772,66
Cataluña	Alta	Ambos sexos	2008	32.662,22
Cataluña	Alta	Mujeres	2023	37.340,6
Cataluña	Alta	Mujeres	2022	35.522,56
Cataluña	Alta	Mujeres	2021	34.602,77
Cataluña	Alta	Mujeres	2020	33.339,04
Cataluña	Alta	Mujeres	2019	31.485,9
Cataluña	Alta	Mujeres	2018	31.156,53
Cataluña	Alta	Mujeres	2017	29.992,68
Cataluña	Alta	Mujeres	2016	29.275,79
Cataluña	Alta	Mujeres	2015	29.058,1
Cataluña	Alta	Mujeres	2014	28.418,83
Cataluña	Alta	Mujeres	2013	29.513,23
Cataluña	Alta	Mujeres	2012	29.314,38
Cataluña	Alta	Mujeres	2011	28.594,49
Cataluña	Alta	Mujeres	2010	29.220,24
Cataluña	Alta	Mujeres	2009	28.921,95
Cataluña	Alta	Mujeres	2008	28.569,63
Cataluña	Alta	Hombres	2023	44.137,22
Cataluña	Alta	Hombres	2022	42.419,17
Cataluña	Alta	Hombres	2021	42.834,85
Cataluña	Alta	Hombres	2020	40.816,89
Cataluña	Alta	Hombres	2019	39.078,11
Cataluña	Alta	Hombres	2018	37.971,19
Cataluña	Alta	Hombres	2017	37.847,84
Cataluña	Alta	Hombres	2016	36.935,82
Cataluña	Alta	Hombres	2015	36.779,38
Cataluña	Alta	Hombres	2014	37.685,47
Cataluña	Alta	Hombres	2013	37.256,97
Cataluña	Alta	Hombres	2012	37.485,3
Cataluña	Alta	Hombres	2011	37.104,44
Cataluña	Alta	Hombres	2010	38.335,4
Cataluña	Alta	Hombres	2009	36.288,88
Cataluña	Alta	Hombres	2008	36.313,83
Cataluña	Media	Ambos sexos	2023	24.361,37
Cataluña	Media	Ambos sexos	2022	23.570,9
Cataluña	Media	Ambos sexos	2021	22.469,76
Cataluña	Media	Ambos sexos	2020	21.826,44
Cataluña	Media	Ambos sexos	2019	21.325,23
Cataluña	Media	Ambos sexos	2018	21.270,78
Cataluña	Media	Ambos sexos	2017	20.614,7
Cataluña	Media	Ambos sexos	2016	20.140,67
Cataluña	Media	Ambos sexos	2015	20.343,23
Cataluña	Media	Ambos sexos	2014	19.416,34
Cataluña	Media	Ambos sexos	2013	19.729,26
Cataluña	Media	Ambos sexos	2012	19.966,65
Cataluña	Media	Ambos sexos	2011	20.105,14
Cataluña	Media	Ambos sexos	2010	19.918,59
Cataluña	Media	Ambos sexos	2009	19.962,71
Cataluña	Media	Ambos sexos	2008	19.516,18
Cataluña	Media	Mujeres	2023	21.379,93
Cataluña	Media	Mujeres	2022	20.406,87
Cataluña	Media	Mujeres	2021	19.505,75
Cataluña	Media	Mujeres	2020	18.902,23
Cataluña	Media	Mujeres	2019	18.448,35
Cataluña	Media	Mujeres	2018	18.089,93
Cataluña	Media	Mujeres	2017	17.346,34
Cataluña	Media	Mujeres	2016	17.064,07
Cataluña	Media	Mujeres	2015	17.407,6
Cataluña	Media	Mujeres	2014	15.935,4
Cataluña	Media	Mujeres	2013	16.997,39
Cataluña	Media	Mujeres	2012	17.131,5
Cataluña	Media	Mujeres	2011	17.184,37
Cataluña	Media	Mujeres	2010	16.949,55
Cataluña	Media	Mujeres	2009	16.935,5
Cataluña	Media	Mujeres	2008	16.472,97
Cataluña	Media	Hombres	2023	27.741,81
Cataluña	Media	Hombres	2022	27.182,82
Cataluña	Media	Hombres	2021	25.830,24
Cataluña	Media	Hombres	2020	25.220,97
Cataluña	Media	Hombres	2019	24.688,05
Cataluña	Media	Hombres	2018	24.856,59
Cataluña	Media	Hombres	2017	23.953,06
Cataluña	Media	Hombres	2016	23.387,44
Cataluña	Media	Hombres	2015	23.509,18
Cataluña	Media	Hombres	2014	23.085,25
Cataluña	Media	Hombres	2013	22.969,4
Cataluña	Media	Hombres	2012	23.154,49
Cataluña	Media	Hombres	2011	23.495,45
Cataluña	Media	Hombres	2010	22.902,55
Cataluña	Media	Hombres	2009	23.305,08
Cataluña	Media	Hombres	2008	22.753,73
Cataluña	Baja	Ambos sexos	2023	21.476,7
Cataluña	Baja	Ambos sexos	2022	21.049,79
Cataluña	Baja	Ambos sexos	2021	19.959,72
Cataluña	Baja	Ambos sexos	2020	20.139,62
Cataluña	Baja	Ambos sexos	2019	19.493,64
Cataluña	Baja	Ambos sexos	2018	19.522,29
Cataluña	Baja	Ambos sexos	2017	18.718,8
Cataluña	Baja	Ambos sexos	2016	18.048,28
Cataluña	Baja	Ambos sexos	2015	17.978,42
Cataluña	Baja	Ambos sexos	2014	18.128,68
Cataluña	Baja	Ambos sexos	2013	17.734,41
Cataluña	Baja	Ambos sexos	2012	17.726,44
Cataluña	Baja	Ambos sexos	2011	18.269,9
Cataluña	Baja	Ambos sexos	2010	17.638,09
Cataluña	Baja	Ambos sexos	2009	18.228,57
Cataluña	Baja	Ambos sexos	2008	17.986,36
Cataluña	Baja	Mujeres	2023	16.120,64
Cataluña	Baja	Mujeres	2022	15.449,57
Cataluña	Baja	Mujeres	2021	14.911
Cataluña	Baja	Mujeres	2020	14.950,28
Cataluña	Baja	Mujeres	2019	14.649,05
Cataluña	Baja	Mujeres	2018	14.175,36
Cataluña	Baja	Mujeres	2017	14.204,79
Cataluña	Baja	Mujeres	2016	13.435,69
Cataluña	Baja	Mujeres	2015	13.176,25
Cataluña	Baja	Mujeres	2014	12.710,68
Cataluña	Baja	Mujeres	2013	13.027,31
Cataluña	Baja	Mujeres	2012	13.192,41
Cataluña	Baja	Mujeres	2011	13.396,56
Cataluña	Baja	Mujeres	2010	13.119,51
Cataluña	Baja	Mujeres	2009	13.741,98
Cataluña	Baja	Mujeres	2008	13.404,05
Cataluña	Baja	Hombres	2023	24.472,38
Cataluña	Baja	Hombres	2022	24.362,7
Cataluña	Baja	Hombres	2021	22.789,51
Cataluña	Baja	Hombres	2020	22.780,55
Cataluña	Baja	Hombres	2019	22.247,48
Cataluña	Baja	Hombres	2018	22.426,36
Cataluña	Baja	Hombres	2017	21.547,53
Cataluña	Baja	Hombres	2016	20.952,72
Cataluña	Baja	Hombres	2015	21.123,04
Cataluña	Baja	Hombres	2014	21.326,96
Cataluña	Baja	Hombres	2013	20.932,66
Cataluña	Baja	Hombres	2012	20.836,97
Cataluña	Baja	Hombres	2011	21.263,23
Cataluña	Baja	Hombres	2010	20.418,44
Cataluña	Baja	Hombres	2009	20.578,39
Cataluña	Baja	Hombres	2008	20.256,62
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2023	25.632,37
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2022	24.510,34
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2021	23.448,29
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2020	22.856,7
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2019	22.045,66
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2018	22.121,05
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2017	21.362,39
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2016	21.168,81
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2015	20.935,41
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2014	20.639,58
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2013	20.878,02
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2012	21.223,72
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2011	21.316,34
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2010	20.707,24
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2009	20.489,79
Comunitat Valenciana	Todas las ocupaciones	Ambos sexos	2008	19.793,62
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2023	23.205,68
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2022	22.135,35
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2021	20.670,5
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2020	20.165,73
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2019	19.314,58
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2018	19.235,72
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2017	18.523,81
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2016	18.349,52
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2015	17.811,38
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2014	17.511,66
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2013	17.918,36
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2012	17.870,88
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2011	18.052,49
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2010	17.776,59
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2009	17.426,72
Comunitat Valenciana	Todas las ocupaciones	Mujeres	2008	16.929,69
Comunitat Valenciana	Todas las ocupaciones	Hombres	2023	27.933,36
Comunitat Valenciana	Todas las ocupaciones	Hombres	2022	26.683,85
Comunitat Valenciana	Todas las ocupaciones	Hombres	2021	25.914,86
Comunitat Valenciana	Todas las ocupaciones	Hombres	2020	25.239,04
Comunitat Valenciana	Todas las ocupaciones	Hombres	2019	24.499,53
Comunitat Valenciana	Todas las ocupaciones	Hombres	2018	24.537,07
Comunitat Valenciana	Todas las ocupaciones	Hombres	2017	23.867,74
Comunitat Valenciana	Todas las ocupaciones	Hombres	2016	23.672,18
Comunitat Valenciana	Todas las ocupaciones	Hombres	2015	23.919,14
Comunitat Valenciana	Todas las ocupaciones	Hombres	2014	23.479,71
Comunitat Valenciana	Todas las ocupaciones	Hombres	2013	23.651,4
Comunitat Valenciana	Todas las ocupaciones	Hombres	2012	24.289,23
Comunitat Valenciana	Todas las ocupaciones	Hombres	2011	24.171,87
Comunitat Valenciana	Todas las ocupaciones	Hombres	2010	23.331,71
Comunitat Valenciana	Todas las ocupaciones	Hombres	2009	22.951,64
Comunitat Valenciana	Todas las ocupaciones	Hombres	2008	22.039,14
Comunitat Valenciana	Alta	Ambos sexos	2023	36.239,24
Comunitat Valenciana	Alta	Ambos sexos	2022	34.963,71
Comunitat Valenciana	Alta	Ambos sexos	2021	33.399,7
Comunitat Valenciana	Alta	Ambos sexos	2020	32.577,67
Comunitat Valenciana	Alta	Ambos sexos	2019	30.711,98
Comunitat Valenciana	Alta	Ambos sexos	2018	30.835,78
Comunitat Valenciana	Alta	Ambos sexos	2017	30.648,77
Comunitat Valenciana	Alta	Ambos sexos	2016	30.497,97
Comunitat Valenciana	Alta	Ambos sexos	2015	30.114,28
Comunitat Valenciana	Alta	Ambos sexos	2014	29.215,81
Comunitat Valenciana	Alta	Ambos sexos	2013	29.609,07
Comunitat Valenciana	Alta	Ambos sexos	2012	29.889,71
Comunitat Valenciana	Alta	Ambos sexos	2011	30.906,64
Comunitat Valenciana	Alta	Ambos sexos	2010	29.207,83
Comunitat Valenciana	Alta	Ambos sexos	2009	29.196,86
Comunitat Valenciana	Alta	Ambos sexos	2008	27.871,96
Comunitat Valenciana	Alta	Mujeres	2023	34.404,19
Comunitat Valenciana	Alta	Mujeres	2022	33.232,82
Comunitat Valenciana	Alta	Mujeres	2021	31.021,03
Comunitat Valenciana	Alta	Mujeres	2020	30.058,89
Comunitat Valenciana	Alta	Mujeres	2019	28.706,53
Comunitat Valenciana	Alta	Mujeres	2018	28.480,71
Comunitat Valenciana	Alta	Mujeres	2017	27.359,95
Comunitat Valenciana	Alta	Mujeres	2016	27.556,83
Comunitat Valenciana	Alta	Mujeres	2015	26.778,75
Comunitat Valenciana	Alta	Mujeres	2014	25.986,71
Comunitat Valenciana	Alta	Mujeres	2013	26.347,27
Comunitat Valenciana	Alta	Mujeres	2012	25.995,67
Comunitat Valenciana	Alta	Mujeres	2011	26.876,6
Comunitat Valenciana	Alta	Mujeres	2010	26.006,77
Comunitat Valenciana	Alta	Mujeres	2009	25.472,89
Comunitat Valenciana	Alta	Mujeres	2008	24.300,03
Comunitat Valenciana	Alta	Hombres	2023	38.307,39
Comunitat Valenciana	Alta	Hombres	2022	36.774,83
Comunitat Valenciana	Alta	Hombres	2021	35.742,9
Comunitat Valenciana	Alta	Hombres	2020	35.087,02
Comunitat Valenciana	Alta	Hombres	2019	32.673,26
Comunitat Valenciana	Alta	Hombres	2018	32.941,55
Comunitat Valenciana	Alta	Hombres	2017	33.855,67
Comunitat Valenciana	Alta	Hombres	2016	33.302,17
Comunitat Valenciana	Alta	Hombres	2015	33.447,09
Comunitat Valenciana	Alta	Hombres	2014	32.300,69
Comunitat Valenciana	Alta	Hombres	2013	32.783,22
Comunitat Valenciana	Alta	Hombres	2012	33.582,13
Comunitat Valenciana	Alta	Hombres	2011	34.392,94
Comunitat Valenciana	Alta	Hombres	2010	32.167,94
Comunitat Valenciana	Alta	Hombres	2009	32.413,33
Comunitat Valenciana	Alta	Hombres	2008	31.020,48
Comunitat Valenciana	Media	Ambos sexos	2023	21.548,07
Comunitat Valenciana	Media	Ambos sexos	2022	20.263,76
Comunitat Valenciana	Media	Ambos sexos	2021	19.250,96
Comunitat Valenciana	Media	Ambos sexos	2020	18.757,33
Comunitat Valenciana	Media	Ambos sexos	2019	18.734,87
Comunitat Valenciana	Media	Ambos sexos	2018	18.760,01
Comunitat Valenciana	Media	Ambos sexos	2017	17.562,52
Comunitat Valenciana	Media	Ambos sexos	2016	17.591,08
Comunitat Valenciana	Media	Ambos sexos	2015	17.566,77
Comunitat Valenciana	Media	Ambos sexos	2014	17.148,78
Comunitat Valenciana	Media	Ambos sexos	2013	17.234,12
Comunitat Valenciana	Media	Ambos sexos	2012	17.377,64
Comunitat Valenciana	Media	Ambos sexos	2011	17.332,13
Comunitat Valenciana	Media	Ambos sexos	2010	17.540,29
Comunitat Valenciana	Media	Ambos sexos	2009	16.950,55
Comunitat Valenciana	Media	Ambos sexos	2008	16.893,17
Comunitat Valenciana	Media	Mujeres	2023	18.433,21
Comunitat Valenciana	Media	Mujeres	2022	17.584,09
Comunitat Valenciana	Media	Mujeres	2021	16.282,23
Comunitat Valenciana	Media	Mujeres	2020	15.975,72
Comunitat Valenciana	Media	Mujeres	2019	15.826,94
Comunitat Valenciana	Media	Mujeres	2018	15.899,16
Comunitat Valenciana	Media	Mujeres	2017	14.937,77
Comunitat Valenciana	Media	Mujeres	2016	14.991,72
Comunitat Valenciana	Media	Mujeres	2015	14.803,03
Comunitat Valenciana	Media	Mujeres	2014	14.232,91
Comunitat Valenciana	Media	Mujeres	2013	14.731,99
Comunitat Valenciana	Media	Mujeres	2012	14.460,76
Comunitat Valenciana	Media	Mujeres	2011	14.725,4
Comunitat Valenciana	Media	Mujeres	2010	14.997,07
Comunitat Valenciana	Media	Mujeres	2009	14.317,54
Comunitat Valenciana	Media	Mujeres	2008	14.366,65
Comunitat Valenciana	Media	Hombres	2023	24.844,84
Comunitat Valenciana	Media	Hombres	2022	23.136,16
Comunitat Valenciana	Media	Hombres	2021	22.336
Comunitat Valenciana	Media	Hombres	2020	21.635,39
Comunitat Valenciana	Media	Hombres	2019	21.714,84
Comunitat Valenciana	Media	Hombres	2018	21.493
Comunitat Valenciana	Media	Hombres	2017	20.159,07
Comunitat Valenciana	Media	Hombres	2016	20.273,62
Comunitat Valenciana	Media	Hombres	2015	20.656,98
Comunitat Valenciana	Media	Hombres	2014	20.279,85
Comunitat Valenciana	Media	Hombres	2013	19.996,17
Comunitat Valenciana	Media	Hombres	2012	20.479,38
Comunitat Valenciana	Media	Hombres	2011	20.209,98
Comunitat Valenciana	Media	Hombres	2010	20.064,01
Comunitat Valenciana	Media	Hombres	2009	19.511,95
Comunitat Valenciana	Media	Hombres	2008	19.303,27
Comunitat Valenciana	Baja	Ambos sexos	2023	19.320,85
Comunitat Valenciana	Baja	Ambos sexos	2022	19.067,57
Comunitat Valenciana	Baja	Ambos sexos	2021	17.926,41
Comunitat Valenciana	Baja	Ambos sexos	2020	17.423,93
Comunitat Valenciana	Baja	Ambos sexos	2019	16.998,25
Comunitat Valenciana	Baja	Ambos sexos	2018	17.517,41
Comunitat Valenciana	Baja	Ambos sexos	2017	16.162,34
Comunitat Valenciana	Baja	Ambos sexos	2016	15.905,56
