Unnamed: 0,supermarket,name,description,product_id,categoria,subcategoria
5124872,dia-es,SELECCIÓN DE DIA hamburguesa de vacuno ecológica bandeja 240 gr,,90f77eab28f34d60bbb6f984d4adde01,frescos,carne
5129291,dia-es,DR. SCHAR ondulé barrita de chocolate con avellanas SIN GLUTEN envase 30 gr,,34402e67ea8e13c43453165690a8136e,despensa,desayunos y dulces
5129558,dia-es,DANONE yogur original con fresas pack 2 unidades 130 gr,,d450a0d6571031edb58067445b65ddf0,despensa,lacteos y huevos
5131103,dia-es,DANONE yogur original natural pack 2 unidades 130 gr,,abe5689d28f1dd42cd28aefed0ead229,despensa,lacteos y huevos
5131108,dia-es,DANONE petit de danet sabor chocolate pack 6 unidades 55 gr,,ff0c74a5ef5af9b2c26fb01593b9e9da,despensa,lacteos y huevos
5135049,dia-es,Corazón de lechuga romana 1 ud,,42e083eaaab3ed6b8f9a49755b737a33,frescos,verduras y hortalizas
5137913,dia-es,RUFFLES patatas fritas onduladas sabor a jamón bolsa 150 gr,,2c22388fa404d8041710203b3618b7e7,despensa,aperitivos
5144010,dia-es,TRESEMMÉ acondicionador hidratación intensa bote 900 ml,,989e795c3c04dc08d48ec7ccc72a720b,cuidado personal,bano e higiene personal
5144967,dia-es,CHEETOS pelotazos bolsa 130 gr,,d5a9e756e0cb51b481e35e6f88240eeb,despensa,aperitivos
5145184,dia-es,DIA CAPRICHOSO tiramisú pack 2 unidades 90 gr,,200e4b9058c858201b9907ef00ccddc2,despensa,lacteos y huevos
